place_type,place_code,code_type,eng,street_code,latitude,longitude
local_municipality,KZN263,municipal_code,Abaqulusi,,-27.8471729,30.8059392
town,,,Abbotsdale,7300,-33.4924125,18.6687469
town,,,Aberdeen,6270,-32.4731045,24.0199311
town,,,Acornhoek,1360,-24.6088566,31.0580914
town,,,Adams Mission,4110,-30.0310189,30.8095154
town,,,Addo,6105,-33.5364815,25.6894928
town,,,Adelaide,5760,-32.6896269,26.2841355
local_municipality,LIM352,municipal_code,Aganang,,-23.6739209,29.128872
town,,,Aggeneys,,-29.2297459,18.8458324
town,,,Agisanang,2760,-26.5613947,25.8175337
town,,,Akasia,601,-25.6478121,28.0814965
local_municipality,MP301,municipal_code,Albert Luthuli,,-26.0969422,30.1747849
town,,,Alberton,1449,-26.3265419,28.0787148
town,,,Alexander Bay,,-28.6059016,16.4790338
town,,,Alexandra,2090,-26.1056836,28.0935571
town,,,Alexandria,6185,-33.6553521,26.4033723
district_municipality,DC44,municipal_code,Alfred Nzo,,-30.5363342,28.5680413
town,,,Alice,5700,-32.7891031,26.8072426
town,,,Alicedale,6135,-33.3228295,26.0749035
town,,,Aliwal North,9750,-30.7002903,26.6971434
town,,,Alldays,909,-22.6823872,29.1009678
local_municipality,EC124,municipal_code,Amahlathi,,-32.444572,27.0868375
district_municipality,DC25,municipal_code,Amajuba,,-27.7945509,29.8830249
town,,,Amalia,2786,-27.2434993,25.0335223
town,,,Amandelbult,362,-24.8209406,27.2776131
town,,,Amanzimtoti,4126,-30.032394,30.8761746
district_municipality,DC12,municipal_code,Amathole,,-32.7211885,26.7584955
town,,,Amatikulu,3801,-29.0484255,31.5267446
town,,,Amersfoort,2490,-27.0150236,29.8333898
town,,,Amsterdam,2375,-26.6365111,30.6506353
town,,,Anerley,,-30.6715707,30.4966244
town,,,Arlington,9602,-28.02716,27.8466304
town,,,Arniston,,-34.6791805,20.226238
town,,,Ashdown,3201,-29.6388121,30.3272321
town,,,Ashton,6715,-33.8326279,20.0468465
town,,,Askham,8814,-26.9817428,20.7805049
town,,,Aston Bay,6332,-34.0815898,24.9016753
town,,,Atamelang,2732,-26.5032448,25.3634796
town,,,Atlantis,7349,-33.5451085,18.4414329
town,,,Atteridgeville,8,-25.7836312,28.0471225
town,,,Augrabies,,-28.5926259,20.3358642
suburb,,,Avondale,7500,-33.8939362,18.5955251
town,,,Baardskeerdersbos,,-34.5869627,19.5664215
