id,parent,place_type,place_code,code_type,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,street_code,box_code,latitude,longitude,last_modified
100001,101353,local_municipality,KZN263,municipal_code,Abaqulusi,,,,,,,,,,,,,-27.8471729,30.8059392,2024-03-27T05:03:20.669328+00:00
100002,101168,town,,,Abbotsdale,,,,,,,,,,,7300,,-33.4924125,18.6687469,2024-03-27T05:03:23.790622+00:00
100003,100143,town,,,Aberdeen,,,,,,,,,,,6270,6270,-32.4731045,24.0199311,2024-03-27T05:03:17.692731+00:00
100004,100136,town,,,Acornhoek,,,,,,,,,,,1360,1360,-24.6088566,31.0580914,2024-03-27T05:03:21.345441+00:00
100005,100306,town,,,Adams Mission,,,,,,,,,,,4110,4100,-30.0310189,30.8095154,2024-03-27T05:03:19.626294+00:00
100006,101161,town,,,Addo,,,,,,,,,,,6105,6105,-33.5364815,25.6894928,2024-03-27T05:03:17.885294+00:00
100007,100904,town,,,Adelaide,,,,,,,,,,,5760,5760,-32.6896269,26.2841355,2024-03-27T05:03:17.538106+00:00
100008,100151,local_municipality,LIM352,municipal_code,Aganang,,,,,,,,,,,,,-23.6739209,29.1288720,2024-03-27T05:03:20.753677+00:00
100009,100500,town,,,Aggeneys,,,,,,,,,,,,8893,-29.2297459,18.8458324,2024-03-27T05:03:22.136169+00:00
100010,101213,town,,,Agisanang,,,,,,,,,,,2760,2760,-26.5613947,25.8175337,2024-03-27T05:03:22.922386+00:00
100011,100175,town,,,Akasia,,,,,,,,,,,0601,,-25.6478121,28.0814965,2024-03-27T05:03:19.155027+00:00
100012,100349,local_municipality,MP301,municipal_code,Albert Luthuli,,,,,,,,,,,,,-26.0969422,30.1747849,2024-03-27T05:03:21.502784+00:00
100013,100269,town,,,Alberton,,,,,,,,,,,1449,1450,-26.3265419,28.0787148,2024-03-27T05:03:19.300307+00:00
100014,101053,town,,,Alexander Bay,,,,,,,,,,,,8290,-28.6059016,16.4790338,2024-03-27T05:03:22.209971+00:00
100015,100173,town,,,Alexandra,,,,,,,,,,,2090,2014,-26.1056836,28.0935571,2024-03-27T05:03:19.019200+00:00
100016,100854,town,,,Alexandria,,,,,,,,,,,6185,6185,-33.6553521,26.4033723,2024-03-27T05:03:17.858843+00:00
100017,100255,district_municipality,DC44,municipal_code,Alfred Nzo,,,,,,,,,,,,,-30.5363342,28.5680413,2024-03-27T05:03:17.301416+00:00
100018,100884,town,,,Alice,,,,,,,,,,,5700,5700,-32.7891031,26.8072426,2024-03-27T05:03:17.504119+00:00
100019,100670,town,,,Alicedale,,,,,,,,,,,6135,6135,-33.3228295,26.0749035,2024-03-27T05:03:17.838488+00:00
100020,100680,town,,,Aliwal North,,,,,,,,,,,9750,9750,-30.7002903,26.6971434,2024-03-27T05:03:18.140173+00:00
100021,100090,town,,,Alldays,,,,,,,,,,,0909,0909,-22.6823872,29.1009678,2024-03-27T05:03:20.767403+00:00
100022,100027,local_municipality,EC124,municipal_code,Amahlathi,,,,,,,,,,,,,-32.4445720,27.0868375,2024-03-27T05:03:17.360484+00:00
100023,100571,district_municipality,DC25,municipal_code,Amajuba,,,,,,,,,,,,,-27.7945509,29.8830249,2024-03-27T05:03:19.573675+00:00
100024,100687,town,,,Amalia,,,,,,,,,,,2786,2786,-27.2434993,25.0335223,2024-03-27T05:03:22.816426+00:00
100025,101177,town,,,Amandelbult,,,,,,,,,,,0362,0362,-24.8209406,27.2776131,2024-03-27T05:03:21.313544+00:00
100026,100306,town,,,Amanzimtoti,,,,,,,,,,,4126,4125,-30.0323940,30.8761746,2024-03-27T05:03:19.630078+00:00
100027,100255,district_municipality,DC12,municipal_code,Amathole,,,,,,,,,,,,,-32.7211885,26.7584955,2024-03-27T05:03:17.350759+00:00
100028,101239,town,,,Amatikulu,,,,,,,,,,,3801,3801,-29.0484255,31.5267446,2024-03-27T05:03:20.575967+00:00
100029,100986,town,,,Amersfoort,,,,,,,,,,,2490,2490,-27.0150236,29.8333898,2024-03-27T05:03:21.737421+00:00
100030,100759,town,,,Amsterdam,,,,,,,,,,,2375,2375,-26.6365111,30.6506353,2024-03-27T05:03:21.646563+00:00
100031,100409,town,,,Anerley,,,,,,,,,,,,4230,-30.6715707,30.4966244,2024-03-27T05:03:19.955960+00:00
100032,100881,town,,,Arlington,,,,,,,,,,,9602,9602,-28.0271600,27.8466304,2024-03-27T05:03:18.786452+00:00
100033,100147,town,,,Arniston,,,,,,,,,,,,7280,-34.6791805,20.2262380,2024-03-27T05:03:23.477359+00:00
100034,100822,town,,,Ashdown,,,,,,,,,,,3201,3216,-29.6388121,30.3272321,2024-03-27T05:03:20.165306+00:00
100035,100587,town,,,Ashton,,,,,,,,,,,6715,6715,-33.8326279,20.0468465,2024-03-27T05:03:23.031688+00:00
100036,100755,town,,,Askham,,,,,,,,,,,8814,8814,-26.9817428,20.7805049,2024-03-27T05:03:22.488731+00:00
100037,100541,town,,,Aston Bay,,,,,,,,,,,6332,6332,-34.0815898,24.9016753,2024-03-27T05:03:17.735383+00:00
100038,101213,town,,,Atamelang,,,,,,,,,,,2732,2732,-26.5032448,25.3634796,2024-03-27T05:03:22.926273+00:00
100039,100172,town,,,Atlantis,,,,,,,,,,,7349,,-33.5451085,18.4414329,2024-03-27T05:03:23.163608+00:00
100040,100175,town,,,Atteridgeville,,,,,,,,,,,0008,0006,-25.7836312,28.0471225,2024-03-27T05:03:19.158911+00:00
100041,100471,town,,,Augrabies,,,,,,,,,,,,8874,-28.5926259,20.3358642,2024-03-27T05:03:22.384911+00:00
100042,100945,suburb,,,Avondale,,,,,,,,,,,7500,,-33.8939362,18.5955251,2024-03-27T05:03:23.253617+00:00
100043,100936,town,,,Baardskeerdersbos,,,,,,,,,,,,7271,-34.5869627,19.5664215,2024-03-27T05:03:23.521261+00:00
100044,101228,town,,,Babanango,,,,,,,,,,,,3850,-28.3793493,31.0790037,2024-03-27T05:03:20.721858+00:00
100045,100012,town,,,Badplaas,,,,,,,,,,,1190,1190,-25.9509394,30.5184395,2024-03-27T05:03:21.509886+00:00
100046,100655,town,,,Bafokeng,,,,,,,,,,,,2711,-25.5975270,27.1456317,2024-03-27T05:03:22.561666+00:00
100047,100609,town,,,Bakenberg,,,,,,,,,,,0611,0611,-23.8639637,28.7513173,2024-03-27T05:03:21.235139+00:00
100048,101213,town,,,Bakolobeng,,,,,,,,,,,,2781,-26.4718877,25.5389184,2024-03-27T05:03:22.930218+00:00
100049,100554,town,,,Ballito,,,,,,,,,,,4399,4420,-29.4823222,31.1971626,2024-03-27T05:03:19.786611+00:00
100050,100973,town,,,Banksdrif,,,,,,,,,,,,8576,-27.7461423,24.8007872,2024-03-27T05:03:21.942323+00:00
100051,100791,local_municipality,LIM334,municipal_code,Ba-Phalaborwa,,,,,,,,,,,,,-23.9380908,30.7047001,2024-03-27T05:03:20.866968+00:00
100052,100798,town,,,Bapo 2,,,,,,,,,,,0337,0337,,,2024-03-27T05:03:22.602255+00:00
100053,100269,town,,,Bapsfontein,,,,,,,,,,,1510,1510,-25.9986644,28.4215488,2024-03-27T05:03:19.304287+00:00
100054,101236,town,,,Barberton,,,,,,,,,,,1300,1300,-25.7762332,31.0305193,2024-03-27T05:03:21.489880+00:00
100055,101097,town,,,Barkly East,,,,,,,,,,,9786,9786,-30.9728609,27.5841500,2024-03-27T05:03:18.161701+00:00
100056,100224,town,,,Barkly West,,,,,,,,,,,8375,8375,-28.5310774,24.4961791,2024-03-27T05:03:21.894754+00:00
100057,101171,town,,,Barrydale,,,,,,,,,,,6750,6750,-33.9062789,20.7085576,2024-03-27T05:03:23.578624+00:00
100058,100854,town,,,Bathurst,,,,,,,,,,,6166,6166,-33.4816186,26.7596863,2024-03-27T05:03:17.864942+00:00
100059,100138,local_municipality,EC107,municipal_code,Baviaans,,,,,,,,,,,,,-33.4379755,23.7146829,2024-03-27T05:03:17.655298+00:00
100060,100175,town,,,Baviaanspoort,,,,,,,,,,,0186,0039,-25.6696204,28.3635038,2024-03-27T05:03:19.162689+00:00
100061,100509,town,,,Baziya,,,,,,,,,,,,5109,-31.6170968,28.4215743,2024-03-27T05:03:18.268981+00:00
100062,100860,town,,,Beachview,,,,,,,,,,,6070,6011,-34.0020110,25.3236760,2024-03-27T05:03:18.192117+00:00
100063,100945,suburb,,,Beaconvale,,,,,,,,,,,7500,,-33.9157622,18.5860637,2024-03-27T05:03:23.257578+00:00
100064,100161,local_municipality,WC053,municipal_code,Beaufort West,,,,,,,,,,,,,-32.3082008,21.7322175,2024-03-27T05:03:23.108820+00:00
